ena_run_accession,lineage_count,lineage_1,lineage_2,lineage_3,lineage_4,mixture_type
ERR13284006,2,lineage4.2.1,lineage4.3.3,,,minor
ERR4814531,1,lineage3.1.2,,,,single
ERR13284817,1,lineage2.2.10,,,,single
ERR4813718,1,lineage4.3.4.2,,,,single
ERR4799986,2,lineage2.2,lineage4.10,,,major
ERR13266783,1,lineage2.2,,,,single
ERR9125510,1,lineage1.2.1,,,,single
ERR4799912,2,lineage1.2.2,lineage3.1.2,,,major
ERR8699803,1,lineage2.2.6,,,,single
ERR4799816,1,lineage2.2.4,,,,single
ERR2510376,1,lineage3,,,,single
ERR2514159,1,lineage2.2.10,,,,single
ERR4831809,1,lineage2.2,,,,single
ERR4798509,2,lineage2.2.7,lineage3.1.2,,,major
ERR2510340,1,lineage3,,,,single
ERR4828444,2,lineage1.1.1.1,lineage2.2,,,major
ERR4829916,2,lineage4.1.2.1,lineage4.10,,,minor
ERR13260698,1,lineage4.3.3,,,,single
ERR13261066,2,lineage3,lineage4.2.2,,,major
ERR9992700,1,lineage2.2.7,,,,single
ERR4797054,1,lineage2.2.8,,,,single
ERR4813450,2,lineage4.1.2.1,lineage4.3.3,,,minor
ERR9121135,1,lineage2.2.10,,,,single
ERR4813796,2,lineage4.1.1.3,lineage4.3.2,,,minor
ERR4811314,1,lineage2.2.3,,,,single
ERR8975943,1,lineage2.2.7,,,,single
ERR4799772,1,lineage3.1.2.1,,,,single
ERR9993150,1,lineage2.2,,,,single
ERR4827764,1,lineage4.10,,,,single
ERR13266977,2,lineage2.2,lineage4.10,,,major
ERR13284996,1,lineage2.2.10,,,,single
ERR4797622,2,lineage1.1.2,lineage2.2.7,,,major
ERR4830784,1,lineage4.2.2,,,,single
ERR2513859,1,lineage4.1.1.3,,,,single
ERR2516067,2,lineage1.2.2,lineage4.1.2,,,major
ERR4811020,1,lineage2.2.6,,,,single
ERR4813158,2,lineage4.1.2.1,lineage4.3.3,,,minor
ERR13284715,2,lineage2.2.10,lineage4.1.2.1,,,major
ERR4822594,2,lineage2.2.10,lineage4.10,,,major
ERR13285190,2,lineage2.2.1,lineage3,,,major
